district,district_eng,lat,lng
종로구,Jongno-gu,37.592128,126.97942
중구,Jung-gu,37.557335,126.997985
용산구,Yongsan-gu,37.528582,126.981987
성동구,Seongdong-gu,37.54824,127.043114
광진구,Gwangjin-gu,37.543059,127.088351
동대문구,Dongdaemun-gu,37.579132,127.057221
중랑구,Jungnang-gu,37.595194,127.095157
성북구,Seongbuk-gu,37.602917,127.019697
강북구,Gangbuk-gu,37.64071,127.013272
도봉구,Dobong-gu,37.66633,127.034471
노원구,Nowon-gu,37.649734,127.077134
은평구,Eunpyeong-gu,37.616431,126.929119
서대문구,Seodaemun-gu,37.574997,126.941155
마포구,Mapo-gu,37.556708,126.910326
양천구,Yangcheon-gu,37.52194,126.857526
강서구,Gangseo-gu,37.55844,126.824859
구로구,Guro-gu,37.491581,126.858351
금천구,Geumcheon-gu,37.457775,126.902894
영등포구,Yeongdeungpo-gu,37.519739,126.912303
동작구,Dongjak-gu,37.496075,126.953734
관악구,Gwanak-gu,37.46457,126.947435
서초구,Seocho-gu,37.47074,127.033245
강남구,Gangnam-gu,37.493712,127.065334
송파구,Songpa-gu,37.502168,127.118003
강동구,Gangdong-gu,37.547522,127.149107
